1007023287293345500, 1354.1333744794433
1428943961664541000, 1919.0420321353804
1985511196444578800, 2641.8683841294724
2797747463288528000, 3743.8217767074143
3942254711206782500, 5305.412480026776
5554958913183835000, 7410.603047613564
7772800259044396000, 10501.18918751271
10800270938604534000, 14456.566998369382
15218463978152294000, 20486.56574644587
21294501471630470000, 28614.390610221402
29588613849752654000, 39392.286681786594
40826509324804990000, 54227.40546671658
57126669560520794000, 76842.90202770094
79934739193932330000, 105791.1906466853
99302569525256700000, 133460.80390427585
